Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Aglaia_canarana,0.897,0.0,9.1,6.2,3.7,0.0,2.9,0.0,0.0,0.0,0.0,0.1,13.5,0.6,33.4,0.0,0.0,17.6,0.0,2.9,9.9
Aglaia_edulis,0.931,0.0,0.0,16.6,2.4,0.0,0.4,0.0,14.2,0.0,0.0,0.0,3.8,11.5,7.4,1.1,33.5,0.1,1.7,3.7,3.5
Aglaia_elaeagnoidea,0.843,0.0,4.8,5.1,2.6,0.1,5.4,0.1,0.4,0.1,0.0,3.3,23.0,0.0,5.1,1.9,1.5,1.1,1.8,11.1,32.3
Aglaia_lawii,0.836,0.3,0.0,6.2,0.5,0.0,2.9,0.0,2.5,1.2,0.0,0.0,25.5,0.0,4.8,44.5,0.0,8.8,2.6,0.0,0.3
Aglaia_perviridis,0.957,0.0,9.2,0.0,0.0,0.0,3.5,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.7,16.0,5.6
Aglaia_simplicifolia,0.94,15.3,7.2,1.4,2.8,0.0,0.0,1.0,0.0,10.5,0.0,0.0,5.2,2.4,0.6,0.0,2.5,0.4,0.1,50.3,0.2
Agrostistachys_borneensis,0.981,0.0,1.6,0.0,1.4,0.0,0.0,4.8,0.0,6.8,22.0,0.0,10.8,0.0,11.6,0.1,0.6,0.5,0.3,39.5,0.0
Agrostistachys_indica,0.877,0.0,5.5,0.0,0.0,0.0,0.0,0.1,25.4,6.2,0.0,0.0,9.7,1.5,0.4,4.8,0.0,0.0,1.7,44.3,0.2
Aidia_densiflora,0.961,0.0,14.8,0.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ailanthus_triphysa,0.73,0.0,0.0,0.0,4.1,0.0,0.0,0.0,21.8,17.7,0.0,0.9,0.0,0.0,16.1,29.1,0.0,0.3,10.0,0.0,0.0
Allophylus_cobbe,0.865,0.0,0.2,1.0,0.0,0.0,0.3,0.7,0.0,0.7,0.0,0.0,0.2,12.8,6.5,46.2,0.5,3.9,4.7,21.4,0.9
Alseodaphne_semecarpifolia,0.918,0.0,24.0,2.4,0.2,0.0,0.4,0.8,5.1,0.0,4.2,2.0,8.6,0.0,14.1,7.5,6.9,1.5,11.3,10.6,0.5
Alstonia_scholaris,0.711,0.0,1.1,1.1,0.0,0.0,7.4,0.0,0.0,0.7,0.0,0.0,47.7,6.8,0.6,6.8,0.2,6.0,15.4,1.6,4.4
Anacolosa_densiflora,0.958,0.0,6.0,5.0,1.1,0.0,0.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.4,0.1,19.7,0.5,0.0,7.3
Ancistrocladus_heyneanus,0.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,81.0,0.0,0.0,0.4,16.9,0.0
Antiaris_toxicaria,0.887,0.0,0.0,1.8,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,21.8,6.5,58.8,3.7
Antidesma_montanum,0.922,4.7,4.5,22.4,4.5,0.0,0.1,10.6,0.8,2.4,4.5,1.4,22.6,0.5,1.7,0.2,0.0,1.8,1.1,14.9,1.4
Aphanamixis_polystachya,0.844,0.0,7.8,5.9,11.0,0.0,2.4,3.3,0.0,1.9,22.4,6.4,14.0,0.5,0.6,0.4,0.0,0.0,1.3,1.2,20.8
Aphananthe_cuspidata,0.459,0.0,3.9,0.0,30.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,3.7,47.1
Apodytes_dimidiata,0.859,0.0,18.5,0.0,0.0,4.0,0.0,42.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,0.2
Aporosa_acuminata,0.947,0.0,5.2,4.5,6.1,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.7,1.9,5.8,0.0,44.7,0.0,0.0,9.1
Aporosa_cardiosperma,0.933,0.0,0.0,20.4,0.2,0.0,1.1,1.7,0.0,0.5,0.3,0.9,15.3,9.0,27.3,0.9,0.3,1.1,17.4,3.0,0.5
Archidendron_bigeminum,0.885,0.1,6.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,6.2,0.0,2.9,0.2,0.0,0.5,1.9,53.1,23.3
Ardisia_missionis,0.996,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,10.1
Ardisia_pauciflora,0.923,4.9,12.9,0.0,0.0,11.9,0.0,39.9,3.0,4.1,12.9,1.3,0.0,0.0,7.0,0.0,0.0,0.0,0.3,0.6,1.3
Ardisia_rhomboidea,0.997,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9,32.3,0.0,0.0,0.0,0.1,0.0
Ardisia_solanacea,0.922,0.0,0.4,0.0,9.6,0.8,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4,0.0,0.2,31.8,0.0,0.0
Ardisia_stonei,0.929,0.0,1.5,6.0,10.0,32.8,0.0,15.5,2.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10.2,2.0,5.9,12.8
Arenga_wightii,0.967,0.0,0.5,0.0,46.3,0.0,0.0,10.4,0.0,0.0,0.0,0.8,0.0,6.5,0.0,0.0,26.5,0.0,5.9,0.0,3.0
Artocarpus_gomezianus,0.803,0.0,0.1,0.0,30.3,0.0,0.0,2.4,0.0,0.0,0.0,0.0,4.0,1.6,24.3,0.0,0.0,5.0,14.3,1.3,16.8
Artocarpus_heterophyllus,0.843,0.0,0.4,8.1,3.6,0.0,10.0,0.0,0.3,0.0,7.1,1.0,34.4,0.0,20.5,4.5,0.3,0.0,1.4,6.4,2.0
Artocarpus_hirsutus,0.899,0.1,0.0,13.5,1.3,0.0,4.3,0.0,0.1,1.3,7.1,0.6,30.3,10.5,4.9,4.8,3.8,2.9,4.9,1.2,8.2
Atalantia_racemosa,0.885,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.1,0.0,0.0,0.1,11.3,16.5,0.0,49.3,2.4,3.4,0.1,1.7,13.6
Atalantia_wightii,0.8,0.0,0.0,25.2,0.5,0.0,0.0,2.4,8.1,0.4,0.0,0.1,27.2,0.4,0.4,1.1,0.0,0.0,0.0,2.4,31.9
Atuna_indica,0.956,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0.3,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.3,0.3,0.9,7.2,28.8
Atuna_travancorica,0.665,0.0,0.0,2.3,1.9,0.2,0.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,64.3,0.0,2.9,0.0
Baccaurea_courtallensis,0.945,0.0,1.4,4.4,1.2,0.0,0.6,9.4,0.0,0.0,0.2,2.5,1.4,0.0,0.0,0.2,0.6,2.8,10.3,48.4,16.7
Beilschmiedia_dalzellii,0.856,0.8,4.7,0.9,0.1,0.1,4.8,3.8,0.1,0.0,0.5,0.5,1.0,6.6,0.5,1.5,48.6,1.5,7.0,1.3,15.9
Beilschmiedia_wightii,0.948,2.8,0.4,0.0,1.2,0.0,2.0,0.5,16.1,6.1,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,65.6,3.9
Bhesa_indica,0.982,8.9,3.2,0.4,7.1,24.8,0.0,3.2,4.0,3.1,0.0,0.0,0.0,0.0,41.2,3.0,0.0,0.0,0.1,0.9,0.0
Bischofia_javanica,0.842,0.0,0.0,0.0,1.8,0.0,7.0,0.0,13.0,0.9,0.0,0.0,0.3,2.1,3.7,3.0,24.8,2.2,0.1,37.8,3.4
Blachia_denudata,0.959,0.0,6.1,0.0,3.5,0.0,0.0,3.7,0.0,0.0,0.0,0.0,2.6,55.8,4.8,0.0,0.0,0.0,9.4,7.3,6.9
Blepharistemma_serratum,0.897,0.0,14.3,0.0,0.0,0.0,0.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,15.1,29.2
Bombax_ceiba,0.773,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,2.1,18.7,0.5,24.3,5.2,0.0,5.7,16.4,13.4,5.3
Bridelia_stipularis,0.897,0.0,0.0,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,70.0,0.0,0.0,19.7,3.2,2.9
Callicarpa_tomentosa,0.888,0.0,3.2,8.0,0.0,0.0,2.3,0.1,0.0,0.0,0.0,0.0,23.3,5.0,2.1,2.3,34.5,0.0,12.5,3.7,2.9
Calophyllum_apetalum,0.951,0.0,2.7,0.1,28.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,41.4,0.0,4.8,0.0,0.1,17.5,4.3,0.0
Calophyllum_austroindicum,0.924,0.0,26.6,0.0,5.5,5.6,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7,52.7,0.0,0.0,0.0,0.9,0.0,0.0
Calophyllum_tomentosum,0.928,0.0,0.9,20.7,2.1,0.5,0.1,0.2,0.1,2.3,0.0,3.2,14.8,0.2,0.3,0.0,0.8,3.1,0.1,13.1,37.6
Canarium_strictum,0.911,4.9,2.7,7.2,4.0,0.0,3.1,3.0,1.9,0.1,0.0,0.0,25.3,3.3,1.6,0.6,0.0,0.0,0.0,26.6,15.7
Canthium_rheedei,0.989,0.0,0.1,2.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.2,54.6,0.0,0.0,20.8,5.3,4.6
Capparis_baducca,0.947,0.0,6.5,0.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.3,14.0,39.1
Carallia_brachiata,0.934,0.0,0.6,0.0,4.0,0.0,0.0,2.5,0.1,0.0,0.0,0.0,12.0,6.9,0.0,3.6,58.6,1.5,2.9,1.8,5.5
Carissa_carandas,0.968,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,12.6,0.2,63.7,0.0,0.1,14.6,0.3,4.9
Carissa_spinarum,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,93.7,0.0,0.0,0.0,0.0,1.9
Caryota_urens,0.741,0.0,0.0,2.7,1.7,0.0,3.0,0.4,0.0,0.0,0.0,0.2,12.6,4.9,2.0,0.8,48.5,1.0,4.3,1.6,16.2
Casearia_ovata,0.791,0.7,5.1,18.9,0.8,0.0,1.2,3.6,5.4,0.0,4.5,0.0,33.7,3.6,5.4,0.5,6.5,0.5,0.4,6.3,3.0
Casearia_rubescens,0.748,4.8,19.4,0.0,6.8,32.2,2.1,11.6,5.2,0.0,8.4,0.0,0.0,0.2,3.4,0.0,0.0,0.0,5.2,0.0,0.7
Casearia_wynadensis,0.987,0.0,0.3,0.0,0.1,0.0,0.8,0.4,9.4,6.2,0.0,0.0,7.5,0.0,1.0,3.4,5.6,15.5,0.2,48.2,1.4
Celtis_philippensis,0.752,0.0,0.0,1.4,12.9,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,10.8,11.5,41.6,0.0,1.9,19.3,0.3,0.0
Celtis_timorensis,0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,91.9
Chassalia_curviflora,0.853,0.0,0.1,0.0,26.6,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4
Chionanthus_courtallensis,0.994,0.0,0.0,0.3,4.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,87.5,5.4,0.0,0.0,0.0,0.0,0.0
Chionanthus_mala-elengi,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9,0.0,0.0,0.0,42.9,0.1
Chionanthus_ramiflorus,0.983,6.9,9.8,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,6.7,0.0,0.0,0.1,0.0,2.0,0.0,61.4,6.5
Chrysophyllum_flexuosum,0.786,0.0,0.0,0.0,17.8,0.0,0.9,0.0,2.9,0.0,0.0,0.0,0.0,55.0,0.0,0.2,0.0,0.0,14.0,0.0,9.4
Chukrasia_tabularis,0.803,0.0,6.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,40.7,32.5
Cinnamomum_filipedicellatum,0.995,0.0,16.8,0.3,3.4,0.0,0.0,17.4,0.0,1.5,6.6,0.0,0.0,0.0,51.1,0.0,0.0,0.0,2.4,0.0,0.6
Cinnamomum_keralaense,0.265,0.0,4.2,0.0,31.4,25.4,0.0,27.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.6,0.0,0.0,0.0,8.2,0.0
Cinnamomum_macrocarpum,0.658,0.0,9.5,0.0,13.8,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,35.0
Cinnamomum_malabatrum,0.855,1.5,7.4,4.0,2.5,13.7,0.4,0.6,2.3,0.3,0.1,1.8,29.0,0.3,4.9,0.2,2.2,4.5,3.6,7.2,13.6
Cinnamomum_sulphuratum,0.962,0.0,49.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,27.8
Cinnamomum_verum,0.901,0.0,0.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,56.5,0.0,6.6,0.0,0.2,8.4,7.6,14.7
Clausena_anisata,0.518,0.0,5.3,0.0,11.0,5.5,0.0,1.7,0.0,0.0,0.0,0.0,35.6,18.8,4.4,0.0,4.9,2.8,2.2,0.1,7.6
Clausena_austroindica,0.658,0.0,1.6,0.0,0.0,0.0,0.0,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3
Clausena_indica,0.88,6.9,1.7,1.7,0.9,0.0,2.9,0.0,8.6,0.0,0.0,2.9,21.2,8.2,5.9,0.3,0.5,0.0,0.0,30.7,7.6
Cleidion_javanicum,0.878,0.0,0.0,3.6,4.9,0.0,0.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,5.5,0.0,0.0,49.9
Cleistanthus_malabaricus,0.994,0.0,0.0,0.0,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,54.5
Cleistanthus_travancorensis,0.848,0.0,0.0,2.1,0.0,0.0,0.0,0.0,11.2,1.9,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.5,66.8,0.0
Clerodendrum_infortunatum,0.655,5.6,13.1,0.0,3.2,14.9,2.2,3.0,4.7,0.0,4.6,0.0,1.4,0.0,12.3,0.0,0.0,2.4,6.0,15.3,11.3
Connarus_wightii,0.979,0.0,1.1,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,46.5,0.0,0.0,35.3,0.0,0.7
Croton_malabaricus,0.915,0.0,0.8,6.4,0.0,0.0,0.6,4.5,0.0,0.8,0.0,0.1,4.5,0.0,14.5,0.3,0.0,13.6,1.1,29.2,23.7
Croton_zeylanicus,0.822,6.8,12.4,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,4.0,0.0,55.3,0.0,0.0,0.0,0.0,0.0,15.2
Cryptocarya_anamalayana,0.875,0.0,0.0,3.3,1.0,0.8,0.5,0.0,6.4,0.0,7.0,4.0,9.2,0.0,1.3,0.0,3.3,0.4,0.4,41.4,21.1
Cryptocarya_beddomei,0.914,0.0,0.2,4.6,1.5,0.0,0.0,5.3,6.9,0.0,0.0,0.1,16.8,0.0,0.2,1.9,2.3,0.8,2.2,46.8,10.3
Cryptocarya_lawsonii,0.911,1.4,1.9,5.7,0.3,0.1,0.0,2.8,0.8,2.4,17.4,0.0,21.7,1.6,3.4,0.2,0.0,1.2,0.0,20.8,18.3
Cryptocarya_stocksii,0.994,0.0,0.0,8.0,9.2,0.0,0.0,9.1,16.3,0.0,8.7,0.0,26.9,0.0,5.3,0.0,0.0,0.6,0.0,0.1,15.8
Cryptocarya_wightiana,0.869,0.0,1.0,1.8,2.9,0.0,0.3,0.0,0.0,0.0,0.1,0.0,27.2,0.0,18.2,1.8,28.8,0.1,8.6,8.8,0.5
Cyathocalyx_zeylanicus,0.966,0.0,8.3,0.1,0.3,0.0,0.0,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.9,35.0
Cynometra_travancorica,0.941,0.0,13.8,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,25.6
Dendrocnide_sinuata,0.812,0.2,2.2,0.0,2.8,2.8,0.0,40.1,4.9,0.2,6.2,0.9,0.0,1.9,9.8,0.1,0.2,7.1,4.3,2.9,13.4
Dichapetalum_gelonioides,0.875,0.9,6.9,17.4,0.1,0.0,1.4,0.0,0.0,0.1,2.7,0.0,7.3,9.7,0.0,4.3,0.6,1.0,0.3,13.5,33.8
Dillenia_bracteata,0.985,0.0,23.9,0.0,0.0,5.8,0.0,26.4,0.0,2.4,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,14.0,25.5
Dimocarpus_longan,0.847,4.0,8.3,2.3,5.0,9.6,1.1,0.4,4.3,0.3,0.9,0.9,25.3,0.6,1.1,1.9,4.3,7.7,5.3,11.3,5.2
Dimorphocalyx_beddomei,0.928,0.4,8.5,1.2,0.0,4.6,0.0,56.0,3.3,2.8,0.0,2.6,0.0,0.0,0.0,0.2,0.0,0.7,4.3,0.3,15.0
Dimorphocalyx_glabellus,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.8,64.9,14.3,0.8,4.0,14.5,0.1
Diospyros_bourdillonii,0.947,0.0,5.4,1.9,0.0,1.2,5.9,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,54.6,4.1
Diospyros_buxifolia,0.959,0.0,7.8,7.8,1.2,0.0,6.7,22.4,0.0,1.7,0.0,0.3,6.5,1.3,2.2,1.1,0.4,0.1,5.8,4.3,30.5
Diospyros_candolleana,0.943,0.0,0.6,7.0,1.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,3.4,0.4,2.3,7.9,45.5,0.4,9.0,2.7,19.6
Diospyros_crumenata,0.963,0.0,0.0,0.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,1.6,0.0,65.6,10.3,10.4,0.0,3.5
Diospyros_ebenum,0.937,0.0,0.2,0.7,0.1,0.0,2.2,12.4,0.0,1.4,0.0,0.2,3.8,0.0,1.2,2.4,3.7,0.0,3.5,19.2,48.9
Diospyros_ferrea,0.934,0.0,0.0,3.7,0.8,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,34.6,0.6,45.4,0.7,0.1,2.4,0.6,2.2
Diospyros_ghatensis,0.944,0.0,0.7,0.3,0.3,0.0,0.0,8.2,0.0,1.8,0.0,3.2,11.1,0.0,0.4,1.5,0.1,8.6,0.0,50.8,13.0
Diospyros_kedam,0.999,0.0,23.2,0.0,0.0,0.0,0.8,6.1,10.1,0.8,0.0,0.0,5.2,0.0,5.7,6.1,10.2,0.0,0.1,19.1,12.7
Diospyros_malabarica,0.131,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,0.0,0.0,0.0,10.1,0.0,10.3
Diospyros_montana,0.883,0.0,2.8,0.9,0.0,0.0,7.9,9.6,0.0,0.0,0.0,0.7,22.4,1.5,11.1,1.7,0.0,1.3,37.6,0.0,2.6
Diospyros_nilagirica,0.859,0.0,0.3,0.0,0.0,0.0,0.0,93.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,1.5
Diospyros_oocarpa,0.855,0.0,0.2,15.1,1.7,0.0,0.0,0.0,0.0,0.0,0.1,5.2,0.5,29.7,12.3,0.1,13.9,0.0,4.3,1.7,15.2
Diospyros_paniculata,0.93,0.0,8.0,8.7,12.3,0.0,0.0,6.2,0.0,0.0,0.0,0.1,22.1,4.4,0.0,0.6,2.2,5.1,0.3,3.7,26.2
Diospyros_pruriens,0.892,0.0,0.0,0.2,0.9,4.0,0.0,36.6,19.0,0.9,0.0,0.0,16.1,0.0,6.1,0.9,0.9,9.5,2.5,2.3,0.0
Diospyros_ridleyi,0.986,0.2,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6,2.3,0.0,0.0,0.0,0.0,6.7,12.9
Diospyros_saldanhae,0.968,0.0,0.0,30.3,0.1,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.1,2.2,0.5,0.6,37.6,1.0,3.7,7.2,13.6
Diospyros_sylvatica,0.832,0.0,1.1,6.8,0.0,0.0,3.3,0.0,13.9,0.0,0.0,3.1,40.9,0.3,4.1,3.7,1.1,6.1,0.8,11.5,3.3
Diploclisia_glaucescens,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,99.0,0.0,0.0,0.5,0.2,0.0
Dipterocarpus_bourdillonii,0.943,0.0,3.9,0.0,0.6,0.0,0.0,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.4
Dipterocarpus_indicus,0.937,0.3,0.3,16.4,3.0,0.0,0.1,0.3,1.8,2.3,0.0,2.2,16.3,6.3,0.4,0.0,0.0,2.4,0.4,18.5,29.0
Discospermum_sphaerocarpum,0.965,0.3,6.4,0.6,0.0,21.1,0.3,41.5,5.7,2.0,0.0,3.0,0.0,0.0,9.4,0.0,0.0,0.3,7.1,0.5,1.9
Donella_lanceolata,0.872,4.2,2.7,0.0,5.0,0.0,4.7,7.1,0.0,0.1,2.5,0.0,12.0,2.5,1.0,0.6,0.0,6.1,0.7,36.8,14.2
Dracaena_elliptica,0.963,0.0,0.0,24.9,26.9,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.2,0.0,3.4,14.6
Drypetes_confertiflora,0.937,0.3,0.4,18.8,1.0,1.1,2.7,13.8,0.0,0.0,0.3,0.5,6.2,0.0,0.0,3.0,0.0,0.0,0.0,3.6,48.3
Drypetes_malabarica,0.829,0.5,12.7,2.1,13.1,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,1.3,8.4,5.2,0.0,40.8,0.4,0.0,2.2
Drypetes_oblongifolia,0.957,0.0,1.9,8.1,0.0,0.2,0.0,0.0,3.5,0.0,3.2,3.0,7.8,1.9,7.2,0.0,0.1,9.4,0.6,44.6,8.4
Drypetes_venusta,0.887,0.0,2.7,1.5,0.0,0.0,4.7,2.3,0.0,1.1,0.0,0.3,24.0,0.1,7.4,0.3,0.0,9.2,2.7,12.7,31.0
Drypetes_wightii,0.896,0.0,1.5,2.4,12.1,8.1,0.0,63.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,10.9
Durio_exarillatus,0.972,1.3,2.5,2.4,0.1,0.0,0.0,0.6,0.0,0.3,10.2,5.4,13.2,0.0,44.1,0.0,0.0,19.1,0.1,0.8,0.0
Dysoxylum_gotadhora,0.76,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.7,6.5,0.0,48.2,0.0,13.4,0.7,0.8,26.6
Dysoxylum_malabaricum,0.859,0.1,3.4,27.3,0.2,0.0,9.7,9.1,0.0,0.3,3.0,0.1,27.2,0.0,1.4,0.2,0.6,0.4,3.3,2.5,11.1
Elaeagnus_conferta,0.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1,0.0,0.0,0.9,12.0,0.0
